Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)",Timestamp,CPU (%),Memoria (MB)
3.1453988552093506,3.125497,0,2024-09-12 11:08:22,41.2,3424.89453125
3.120398759841919,3.098957,0,2024-09-12 11:08:22,25.0,3436.4921875
3.1773998737335205,3.161457,0,2024-09-12 11:08:22,15.2,3441.83984375
3.256399154663086,3.233157,0,2024-09-12 11:08:22,15.1,3442.21484375
3.3143975734710693,3.288885,0,2024-09-12 11:08:22,33.7,3442.21875
3.2973973751068115,3.276082,0,2024-09-12 11:08:22,31.6,3442.0
3.341398239135742,3.310788,0,2024-09-12 11:08:22,25.6,3442.2890625
3.4253993034362793,3.405584,0,2024-09-12 11:08:22,18.9,3448.26953125
3.4083993434906006,3.380185,0,2024-09-12 11:08:23,22.7,3448.9296875
3.4393985271453857,3.423293,0,2024-09-12 11:08:23,29.4,3449.6171875
3.5093986988067627,3.484524,0,2024-09-12 11:08:23,31.0,3448.39453125
3.520395278930664,3.503561,0,2024-09-12 11:08:23,19.4,3448.30078125
3.618399143218994,3.603846,0,2024-09-12 11:08:23,17.1,3457.96875
3.688398838043213,3.621841,0,2024-09-12 11:08:23,24.7,3458.3046875
3.6623990535736084,3.653,0,2024-09-12 11:08:23,33.7,3457.72265625
3.7024006843566895,3.681396,0,2024-09-12 11:08:23,26.1,3459.01953125
3.7163994312286377,3.678543,0,2024-09-12 11:08:23,21.4,3460.3671875
3.757399797439575,3.736912,0,2024-09-12 11:08:23,16.0,3463.51171875
3.8823983669281006,3.863487,1,2024-09-12 11:08:23,19.5,3466.3046875
3.80639386177063,3.77718,0,2024-09-12 11:08:23,20.3,3467.640625
3.82539963722229,3.805191,0,2024-09-12 11:08:23,19.5,3469.640625
3.8823978900909424,3.85207,0,2024-09-12 11:08:23,16.7,3473.55078125
3.8803980350494385,3.86063,0,2024-09-12 11:08:23,20.9,3473.07421875
3.9263980388641357,3.905476,0,2024-09-12 11:08:23,17.1,3474.296875
3.9843995571136475,3.945526,0,2024-09-12 11:08:23,14.6,3475.13671875
4.049399375915527,4.018715,0,2024-09-12 11:08:23,15.5,3478.1640625
4.05548095703125,4.026937,0,2024-09-12 11:08:23,16.2,3479.76171875
4.095568895339966,4.06769,0,2024-09-12 11:08:23,18.9,3482.97265625
4.135568618774414,4.107607,0,2024-09-12 11:08:23,16.4,3487.09375
4.179570913314819,4.15286,0,2024-09-12 11:08:23,12.3,3489.6640625
4.2305707931518555,4.196213,0,2024-09-12 11:08:23,13.4,3489.734375
