Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)"
1.3590238094329834,1.339719,1
1.898024082183838,1.880761,1
1.891026258468628,1.872167,1
1.9270262718200684,1.91194,1
1.929025411605835,1.910833,1
1.9300270080566406,1.905926,1
1.9600262641906738,1.936026,1
1.9610280990600586,1.939725,1
1.9760267734527588,1.939026,1
1.9770262241363525,1.942579,1
2.2670719623565674,2.240083,0
2.4620869159698486,2.441245,0
2.5517613887786865,2.539402,0
2.709307909011841,2.673476,0
2.7953076362609863,2.779462,0
2.9187233448028564,2.904663,0
3.0547244548797607,3.024711,0
3.195892810821533,3.159837,0
3.2848904132843018,3.273008,0
3.4102771282196045,3.39834,0
3.553062915802002,3.527342,0
3.6735615730285645,3.656287,0
3.807866334915161,3.788296,1
3.8158676624298096,3.792129,0
3.877868175506592,3.847696,1
3.9318368434906006,3.906486,0
4.051867723464966,4.038092,0
4.152835845947266,4.140509,0
4.284823894500732,4.270892,0
4.402834415435791,4.390943,0
4.532835483551025,4.52052,0
4.62015700340271,4.603697,1
4.675734996795654,4.648613,0
4.783293724060059,4.772198,0
4.9363696575164795,4.91184,0
5.026369094848633,5.013368,0
5.157557249069214,5.136961,0
5.269605875015259,5.238677,1
5.264573812484741,5.245276,0
5.395682096481323,5.372421,0
5.479745149612427,5.462558,1
5.518712043762207,5.493834,0
5.623711585998535,5.612259,0
5.755713224411011,5.732585,0
5.851713180541992,5.839269,0
5.988050699234009,5.974789,0
6.117049932479858,6.093868,0
6.242049932479858,6.217467,0
6.3660500049591064,6.343248,0
6.482048511505127,6.45852,0
6.567048072814941,6.55497,0
6.683053016662598,6.671551,1
6.715050458908081,6.69106,0
6.826376914978027,6.802225,0
6.938908576965332,6.912573,0
7.04590916633606,7.031667,0
7.058907985687256,7.043267,1
7.1979079246521,7.170407,0
7.306910037994385,7.291808,1
7.307908535003662,7.29232,0
7.447907447814941,7.425196,0
7.566362142562866,7.544017,0
7.681361675262451,7.660662,0
7.802361726760864,7.789787,0
7.925477027893066,7.901353,0
8.031492948532104,8.019118,0
8.147492408752441,8.135402,0
8.270493507385254,8.255366,0
8.414493083953857,8.401195,0
8.537492513656616,8.514195,0
8.648492574691772,8.633366,0
8.802555084228516,8.779055,0
8.91188669204712,8.897614,0
9.042412996292114,9.018921,0
9.181535959243774,9.155651,0
9.290825366973877,9.264405,0
9.366842031478882,9.351098,1
9.416840314865112,9.396431,0
9.562841415405273,9.543856,0
9.65084171295166,9.626157,0
9.707839965820312,9.691969,1
9.777841329574585,9.752249,0
9.913841485977173,9.88906,0
10.00413179397583,9.982052,0
10.13213300704956,10.105322,0
10.22213077545166,10.20849,1
10.243130922317505,10.218475,0
10.346131324768066,10.334535,1
10.365130186080933,10.342242,0
10.488401412963867,10.467164,0
10.598565340042114,10.5868,1
10.618564367294312,10.591328,0
10.744563102722168,10.718608,0
10.86556625366211,10.8531,0
11.011211395263672,10.985037,0
11.133373737335205,11.111885,0
11.241371631622314,11.21442,0
11.267374038696289,11.251333,1
11.366374254226685,11.342196,0
11.492374420166016,11.469152,0
11.611376285552979,11.589815,0
11.720373630523682,11.695676,0
11.844372987747192,11.831391,0
11.980374097824097,11.953332,0
12.084374189376831,12.071695,0
12.22937273979187,12.205207,0
12.34837293624878,12.332273,1
12.378374338150024,12.355198,0
12.478372812271118,12.4531,0
12.612374782562256,12.58857,0
12.718387603759766,12.694158,0
12.822368144989014,12.796871,0
12.966374635696411,12.941075,0
13.035375118255615,13.01667,1
13.072372436523438,13.048627,0
13.174473524093628,13.149063,0
13.267473220825195,13.255221,0
13.41747260093689,13.39001,0
13.515475034713745,13.504802,0
13.619473695755005,13.603894,1
13.644474267959595,13.630721,0
13.76947283744812,13.751443,0
13.888473987579346,13.865212,0
13.996474504470825,13.969666,0
14.106473445892334,14.092535,0
14.119479179382324,14.102653,1
14.241472721099854,14.228238,1
14.24547290802002,14.221678,0
14.349475145339966,14.326899,0
14.460471868515015,14.448704,0
14.609474658966064,14.586858,0
14.72347354888916,14.708839,0
14.8624746799469,14.837135,0
14.957472562789917,14.946144,0
15.097473621368408,15.07269,0
15.207475185394287,15.19364,0
15.297009468078613,15.281981,1
15.345131635665894,15.324799,0
15.465139865875244,15.44199,0
15.575140476226807,15.549756,0
15.700141191482544,15.682567,0
15.810141563415527,15.796905,0
15.961141109466553,15.939817,0
16.08214044570923,16.056637,0
16.11314105987549,16.099632,1
16.128140926361084,16.112972,1
16.153140783309937,16.138045,1
16.203140020370483,16.181853,0
16.318140268325806,16.29168,0
16.439138412475586,16.418637,0
16.551140069961548,16.526764,0
16.65513825416565,16.629312,0
16.780138969421387,16.754294,0
16.890137672424316,16.876961,0
17.0451443195343,17.033898,0
17.15614342689514,17.144205,0
17.19014263153076,17.173105,1
17.283138751983643,17.266509,0
17.420761585235596,17.40919,0
17.546692848205566,17.525371,0
17.654670238494873,17.643061,0
17.792675256729126,17.766414,0
17.889673233032227,17.866007,0
18.000675916671753,17.977981,0
18.122668027877808,18.096082,1
18.126067399978638,18.104767,0
18.2286696434021,18.205886,0
18.345280408859253,18.321468,0
18.453890800476074,18.431451,0
18.55566167831421,18.529398,0
18.664664268493652,18.651209,0
18.79563570022583,18.780608,0
18.908747911453247,18.897202,0
18.921746730804443,18.902836,1
19.040647268295288,19.025119,1
19.0426504611969,19.021132,0
19.149651050567627,19.126633,0
19.264649629592896,19.241912,0
19.352646350860596,19.340914,0
19.4923837184906,19.466428,0
19.61853051185608,19.592677,0
19.73665499687195,19.723503,0
19.74165439605713,19.724278,1
