Tempo de resposta,Latencia,"Error (0 = OK, 1 = Error)",Timestamp,CPU (%),Memória (MB)
8.648492574691772,8.633366,0,2024-09-12 12:25:51,32.9,3369.67578125
8.802555084228516,8.779055,0,2024-09-12 12:25:51,32.4,3357.9375
8.91188669204712,8.897614,0,2024-09-12 12:25:51,5.9,3333.76953125
9.042412996292114,9.018921,0,2024-09-12 12:25:51,15.3,3333.44921875
9.181535959243774,9.155651,0,2024-09-12 12:25:52,6.0,3333.42578125
9.290825366973877,9.264405,0,2024-09-12 12:25:52,11.1,3337.00390625
9.366842031478882,9.351098,1,2024-09-12 12:25:52,7.8,3336.953125
9.416840314865112,9.396431,0,2024-09-12 12:25:52,12.8,3337.328125
9.562841415405273,9.543856,0,2024-09-12 12:25:52,6.7,3336.4375
9.65084171295166,9.626157,0,2024-09-12 12:25:52,21.8,3335.7890625
9.707839965820312,9.691969,1,2024-09-12 12:25:52,6.6,3335.6875
9.777841329574585,9.752249,0,2024-09-12 12:25:52,9.2,3334.4609375
9.913841485977173,9.88906,0,2024-09-12 12:25:53,10.5,3333.875
10.00413179397583,9.982052,0,2024-09-12 12:25:53,8.5,3336.9375
10.13213300704956,10.105322,0,2024-09-12 12:25:53,5.6,3336.86328125
10.22213077545166,10.20849,1,2024-09-12 12:25:53,9.8,3335.66015625
10.243130922317505,10.218475,0,2024-09-12 12:25:53,6.8,3335.421875
10.346131324768066,10.334535,1,2024-09-12 12:25:53,19.5,3332.625
10.365130186080933,10.342242,0,2024-09-12 12:25:53,22.2,3336.484375
10.488401412963867,10.467164,0,2024-09-12 12:25:53,17.5,3361.89453125
10.598565340042114,10.5868,1,2024-09-12 12:25:53,9.3,3337.1015625
10.618564367294312,10.591328,0,2024-09-12 12:25:54,8.0,3337.75390625
10.744563102722168,10.718608,0,2024-09-12 12:25:54,10.5,3337.8203125
10.86556625366211,10.8531,0,2024-09-12 12:25:54,11.2,3341.28515625
11.011211395263672,10.985037,0,2024-09-12 12:25:54,7.8,3341.1796875
11.133373737335205,11.111885,0,2024-09-12 12:25:54,11.0,3341.12109375
11.241371631622314,11.21442,0,2024-09-12 12:25:54,16.9,3342.07421875
11.267374038696289,11.251333,1,2024-09-12 12:25:54,13.3,3340.53515625
11.366374254226685,11.342196,0,2024-09-12 12:25:54,10.4,3340.484375
11.492374420166016,11.469152,0,2024-09-12 12:25:54,23.3,3341.44921875
11.611376285552979,11.589815,0,2024-09-12 12:25:54,21.9,3337.984375
11.720373630523682,11.695676,0,2024-09-12 12:25:54,5.6,3337.75
11.844372987747192,11.831391,0,2024-09-12 12:25:55,13.9,3337.80859375
11.980374097824097,11.953332,0,2024-09-12 12:25:55,6.8,3337.78515625
12.084374189376831,12.071695,0,2024-09-12 12:25:55,7.9,3337.078125
12.22937273979187,12.205207,0,2024-09-12 12:25:55,52.7,3332.4765625
12.34837293624878,12.332273,1,2024-09-12 12:25:55,12.2,3332.14453125
12.378374338150024,12.355198,0,2024-09-12 12:25:55,15.3,3331.83984375
12.478372812271118,12.4531,0,2024-09-12 12:25:55,15.6,3330.9375
12.612374782562256,12.58857,0,2024-09-12 12:25:55,18.9,3330.89453125
12.718387603759766,12.694158,0,2024-09-12 12:25:55,13.9,3328.2421875
12.822368144989014,12.796871,0,2024-09-12 12:25:55,10.6,3348.8203125
12.966374635696411,12.941075,0,2024-09-12 12:25:56,17.6,3331.8046875
13.035375118255615,13.01667,1,2024-09-12 12:25:56,8.0,3331.23046875
13.072372436523438,13.048627,0,2024-09-12 12:25:56,8.0,3339.671875
13.174473524093628,13.149063,0,2024-09-12 12:25:56,8.0,3339.5625
